ParticipantId,TimeTaken,DocumentTitle,DocumentText,Query
P367,123,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,Weight lifting tryning
P268,605,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,get started weight lifting
P294,528,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,benefits for lifting weights
P381,120,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,weight lifting tips
P174,234,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,Benefits of weight lifting
P182,564,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,What are weightlifting benefits?
P229,46,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,weight lifting easy fitness
P285,54,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,summerstyle 2021 new fashion
P369,792,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,weight lifting for beginners
P090,264,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,get starting weight lift
P132,196,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,Beginners weight lifting tips
P384,517,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,benefits of weightlifting
P210,323,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,weight lifting
P271,47,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,How to keep fit.
P058,52,Weight lifting for everyone - how to get started,There are endless benefits to be gained from lifting weights. Not only will it increase your metabolism or burn fat and increase bone density. It can have a transformational effect on your self-esteem and let's you feel like a fitter person!,Get started weight lifting
P001,1128,Cleaning How-Tos and Homemaking Tips | Housewife How-Tos,According to this Housewife the secret to keeping a clean house is doing these simple tasks daily: so messes and clutter never get out of control. Read more in this article!,How to clutter
P138,171,Cleaning How-Tos and Homemaking Tips | Housewife How-Tos,According to this Housewife the secret to keeping a clean house is doing these simple tasks daily: so messes and clutter never get out of control. Read more in this article!,People who keep a clean home all share the same secret: they use a daily cleaning routine like this one to get everything tidy in minutes.
P369,857,Cleaning How-Tos and Homemaking Tips | Housewife How-Tos,According to this Housewife the secret to keeping a clean house is doing these simple tasks daily: so messes and clutter never get out of control. Read more in this article!,simple cleaning how-tos
P182,194,Cleaning How-Tos and Homemaking Tips | Housewife How-Tos,According to this Housewife the secret to keeping a clean house is doing these simple tasks daily: so messes and clutter never get out of control. Read more in this article!,Housewife cleaning tips
P368,379,Cleaning How-Tos and Homemaking Tips | Housewife How-Tos,According to this Housewife the secret to keeping a clean house is doing these simple tasks daily: so messes and clutter never get out of control. Read more in this article!,Simple daily housekeeping tips
P384,359,Cleaning How-Tos and Homemaking Tips | Housewife How-Tos,According to this Housewife the secret to keeping a clean house is doing these simple tasks daily: so messes and clutter never get out of control. Read more in this article!,cleaning tips for housewives
P367,179,Cleaning How-Tos and Homemaking Tips | Housewife How-Tos,According to this Housewife the secret to keeping a clean house is doing these simple tasks daily: so messes and clutter never get out of control. Read more in this article!,Housewife Home Cleaning  Tips
